"","alias","target"
"1","khwyfq","facade"
"2","tcyxmw","facade"
"3","tldhlk","facade"
"4","onzppx","facade"
"5","gbujim","garbage_can"
"6","bpctie","transformers"
"7","eumcmn","transformers"
"8","kjdhgx","facade"
"9","kahhso","facade"
"10","dwvbzl","facade"
"11","txoecv","transformers"
"12","mxjixz","transformers"
"13","fxpifa","transformers"
"14","vaoakq","transformers"
"15","eoaazz","transformers"
"16","wtinbv","transformers"
"17","smoqoe","window"
"18","lmozbp","window"
"19","qwxjym","window"
"20","iivbfo","window"
"21","qtwskh","window"
"22","tcyxmw","facade"
"23","ahmsqb","facade"
"24","iqhcqu","facade"
"25","opyhol","facade"
"26","ulfdpv","facade"
"27","kixnht","facade"
"28","lxltff","facade"
"29","gbujim","facade"
"30","srpdku","facade"
"31","ojheqy","facade"
"32","ghhulb","facade"
"33","dwvbzl","facade"
"34","rbfjjc","facade"
"35","miqgga","facade"
"36","miqgga","facade"
"37","ulfdpv","facade"
"38","psbxta","facade"
"39","poqczt","facade"
"40","xkesqd","facade"
"41","eyiash","garage_door"
"42","wkuofd","facade"
"43","dlzbjb","facade"
"44","vgilwn","transformers"
"45","pfincj","facade"
"46","ismdvb","facade"
"47","doirgc","facade"
"48","gkpyxa","transformers"
"49","ulfdpv","transformers"
"50","zzfaez","transformers"
"51","edmqtp","transformers"
"52","axohfo","transformers"
"53","ulfdpv","transformers"
"54","uqufpw","transformers"
"55","btmzcy","transformers"
"56","znauvv","transformers"
"57","avosqg","transformers"
"58","xvbguc","facade"
"59","omdueo","facade"
"60","dunpuf","facade"
"61","fymfcr","facade"
"62","gxhove","transformers"
"63","zgrvkj","transformers"
"64","szdwpk","transformers"
"65","yqbjlp","transformers"
"66","hefzdl","transformers"
"67","jhdfwu","transformers"
"68","crzuli","facade"
"69","tmfwqq","facade"
"70","mkgnbh","facade"
"71","zzcclz","facade"
"72","bemexh","facade"
"73","vwhpch","facade"
"74","nppxch","facade"
"75","trkqcc","facade"
"76","uuccbw","facade"
"77","xhrjzj","facade"
"78","lulwhi","facade"
"79","liukal","facade"
"80","kutrrs","facade"
"81","kuafqt","facade"
"82","kfzzws","transformers"
"83","kiyhnt","transformers"
"84","afhukb","transformers"
"85","kiyhnt","transformers"
"86","kiyhnt","transformers"
"87","kfzzws","transformers"
"88","kiyhnt","transformers"
"89","kiyhnt","transformers"
"90","kiyhnt","transformers"
"91","eealyc","transformers"
"92","kahhso","facade"
"93","kahhso","transformers"
"94","onzppx","shutter"
"95","xhrjzj","shutter"
"96","awvfhi","shutter"
"97","rbfjjc","shutter"
"98","jdagna","shutter"
"99","dexkzf","shutter"
"100","ffnbot","shutter"
"101","yltarr","shutter"
"102","ueiysh","facade"
"103","jcucgl","facade"
"104","gkpyxa","transformers"
"105","miqgga","transformers"
"106","ulfdpv","transformers"
"107","pspdqg","facade"
"108","ulfdpv","facade"
"109","fhetog","transformers"
"110","rlcjto","transformers"
"111","xfhmdt","transformers"
"112","ogcskz","facade"
"113","ulfdpv","facade"
"114","vgilwn","facade"
"115","ogcskz","window"
"116","zzfaez","window"
"117","zzfaez","window"
"118","zzfaez","window"
"119","zzfaez","window"
"120","zbrskb","window"
"121","zbrskb","window"
"122","zbrskb","window"
"123","miqgga","facade"
"124","ulfdpv","facade"
"125","ulfdpv","facade"
"126","zarxhl","transformers"
"127","dckpar","transformers"
"128","nppxch","facade"
"129","ocuzlx","facade"
"130","abxgbs","facade"
"131","deqocp","door"
"132","nkiova","door"
"133","ylavbr","door"
"134","mzzzaj","facade"
"135","vgilwn","facade"
"136","ulfdpv","facade"
"137","liukal","facade"
"138","ueijbd","facade"
"139","miqgga","facade"
"140","miqgga","facade"
"141","ulfdpv","facade"
"142","kahhso","transformers"
"143","cngbfg","parking_meter"
"144","lcefch","parking_meter"
"145","ooiars","parking_meter"
"146","dunpuf","parking_meter"
"147","ueijbd","facade"
"148","ozsael","facade"
"149","oerbhj","facade"
"150","fcvkoq","door"
"151","ozsael","door"
"152","ueijbd","door"
"153","lpspgv","door"
"154","ozsael","door"
"155","brrurt","door"
"156","nvheqm","door"
"157","nxsjwb","transformers"
"158","lmdjco","transformers"
"159","lqegen","transformers"
"160","yzvbvd","facade"
"161","qpzqyg","facade"
"162","mxvrrq","facade"
"163","knwiwa","facade"
"164","cytwud","facade"
"165","jrllns","facade"
"166","bplrxc","facade"
"167","xyiuix","facade"
"168","anmymc","facade"
"169","vcnfhe","facade"
"170","wqmcch","facade"
"171","qvcrpx","facade"
"172","cnkapu","facade"
"173","goywav","facade"
"174","awucsm","facade"
"175","isrcno","door"
"176","wbsobb","door"
"177","cajywt","door"
"178","eesjlq","door"
"179","rtjnyq","facade"
"180","kfzzws","garage_door"
"181","oiwdyk","garage_door"
"182","afdtnb","garage_door"
"183","ctddcb","door"
"184","cafjlv","door"
"185","dexkzf","door"
"186","emxykh","garage_door"
"187","szaegc","garage_door"
"188","gvwptu","facade"
"189","mburzv","door"
"190","idvzkf","facade"
"191","idvzkf","door"
"192","xmafsn","facade"
"193","xhrjzj","parking_meter"
"194","xhrjzj","door"
"195","pfincj","transformers"
"196","nppxch","facade"
"197","akxppn","transformers"
"198","ulfdpv","transformers"
"199","vgilwn","transformers"
"200","wtinbv","transformers"
"201","tcyxmw","transformers"
"202","xhrjzj","transformers"
"203","gbujim","transformers"
"204","urzccj","transformers"
"205","hzvrag","transformers"
"206","ajpyzj","transformers"
"207","rtjnyq","transformers"
"208","tldrjx","facade"
"209","ljzgrx","facade"
"210","vunnqq","shutter"
"211","ffdtqo","door"
"212","gqxnjx","facade"
"213","pdzbui","facade"
"214","wsnvnc","window"
"215","mzzzaj","facade"
"216","lfoehh","facade"
"217","egfqht","facade"
"218","lhatbx","facade"
"219","gmornj","facade"
"220","xxuvwk","facade"
"221","fdjsct","facade"
"222","ismdvb","facade"
"223","xxuvwk","facade"
"224","onzppx","facade"
"225","vdjgzf","facade"
"226","hmivmz","facade"
"227","pctjsw","facade"
"228","icmuam","facade"
"229","fpwvey","facade"
"230","doirgc","facade"
"231","eealyc","facade"
"232","lmdjco","facade"
"233","kiwdof","facade"
"234","ambces","facade"
"235","hmivmz","facade"
"236","ifihuk","facade"
"237","drifmc","facade"
"238","xdvzsi","facade"
"239","psklaf","facade"
"240","reozin","transformers"
"241","ccrblh","transformers"
"242","lkfrbk","transformers"
"243","nbhwna","transformers"
"244","ebjymh","transformers"
"245","zqbyel","transformers"
"246","ismdvb","transformers"
"247","ylavbr","transformers"
"248","gbnsmv","transformers"
"249","ueijbd","transformers"
"250","kiwdof","transformers"
"251","peikun","transformers"
"252","tldrjx","door"
"253","udguvk","door"
"254","wtinbv","facade"
"255","xmafsn","facade"
"256","gqlywq","garage_door"
"257","kiyhnt","facade"
"258","nppxch","facade"
"259","vwhpch","facade"
"260","xpzbis","facade"
"261","iqlvvc","transformers"
"262","ebjymh","transformers"
"263","oiwdyk","transformers"
"264","wmmzzg","transformers"
"265","ivtxyd","transformers"
"266","wmsymd","door"
"267","pfincj","door"
"268","rghhse","door"
"269","ueijbd","transformers"
"270","sxpfcd","transformers"
"271","asvwjd","transformers"
"272","fbwrfl","transformers"
"273","zqbyel","transformers"
"274","vskscx","transformers"
"275","znycfl","facade"
"276","schgpn","transformers"
"277","fhetog","garage_door"
"278","jrllns","facade"
"279","bdguhr","facade"
"280","mzzzaj","facade"
"281","ulfdpv","facade"
"282","tbuiqh","facade"
"283","tbuiqh","facade"
"284","ctxokq","facade"
"285","rnwxlb","facade"
"286","vzzcsm","facade"
"287","adpsxi","facade"
"288","nyddph","facade"
"289","jzvxjk","facade"
"290","miqgga","facade"
"291","gkpyxa","facade"
"292","emxykh","facade"
"293","deqocp","facade"
"294","vgilwn","facade"
"295","ulfdpv","facade"
"296","ulfdpv","facade"
"297","ulfdpv","facade"
"298","vskscx","facade"
"299","kwohyq","facade"
"300","oerbhj","facade"
"301","tldrjx","facade"
"302","kwohyq","facade"
"303","tjziyt","bench"
"304","ueijbd","transformers"
"305","lmdjco","transformers"
"306","tuqlzs","facade"
"307","ebjymh","facade"
"308","miqgga","facade"
"309","spkbve","facade"
"310","spkbve","transformers"
"311","ymkpam","transformers"
"312","ccrblh","facade"
"313","xxuvwk","facade"
"314","zqbyel","traffic_sign"
"315","ebjymh","facade"
"316","ueijbd","facade"
"317","wdbxzc","facade"
"318","bstafu","facade"
"319","miqgga","facade"
"320","ulfdpv","facade"
"321","wdbxzc","parking_meter"
"322","wbsobb","parking_meter"
"323","vskscx","door"
"324","cghcij","transformers"
"325","rongxm","transformers"
"326","tcyxmw","facade"
"327","dozmpu","facade"
"328","xhrjzj","facade"
"329","urzccj","facade"
"330","rablsx","facade"
"331","aobrcq","facade"
"332","alwzfw","facade"
"333","kfzzws","facade"
"334","mctewh","transformers"
"335","cxzrwz","transformers"
"336","bzlrwu","transformers"
"337","oxqpnq","transformers"
"338","vndljy","transformers"
"339","tdlicy","transformers"
"340","wdbxzc","facade"
"341","zwnmky","facade"
"342","ccrblh","facade"
"343","zzfaez","facade"
"344","rtjnyq","transformers"
"345","ulfdpv","facade"
"346","lvsehv","shutter"
"347","rghhse","shutter"
"348","wtinbv","shutter"
"349","onzppx","shutter"
"350","eesjlq","shutter"
"351","onzppx","shutter"
"352","ioiijs","shutter"
"353","ccrblh","facade"
"354","ocdzpi","garage_door"
"355","ylavbr","garage_door"
"356","qolfsd","door"
"357","xbjweh","door"
"358","fnqzak","door"
"359","gwfstd","door"
"360","cbccht","door"
"361","ccrblh","transformers"
"362","mjozui","transformers"
"363","ehbbob","transformers"
"364","ehbbob","transformers"
"365","ufglxz","transformers"
"366","eesjlq","transformers"
"367","gwuxfh","transformers"
"368","gdxitf","transformers"
"369","lqemqc","transformers"
"370","lqemqc","transformers"
"371","keqhyo","transformers"
"372","keqhyo","transformers"
"373","keqhyo","transformers"
"374","bteyot","transformers"
"375","bteyot","transformers"
"376","codida","transformers"
"377","kahhso","transformers"
"378","vmsugs","transformers"
"379","ebpmgi","transformers"
"380","rhjiys","door"
"381","coefze","transformers"
"382","kahhso","transformers"
"383","vskscx","transformers"
"384","ahggcs","door"
"385","rnvxxz","transformers"
"386","rnvxxz","transformers"
"387","kiwdof","transformers"
"388","tcyxmw","transformers"
"389","rnvxxz","transformers"
"390","rnvxxz","transformers"
"391","rnvxxz","transformers"
"392","ccrblh","transformers"
"393","ccrblh","transformers"
"394","ibgxbj","transformers"
"395","ueijbd","facade"
"396","ccrblh","facade"
"397","rgkhvr","facade"
"398","ygrbcw","transformers"
"399","rhjiys","transformers"
"400","lbfpau","transformers"
"401","inyygi","facade"
"402","miqgga","facade"
"403","ulfdpv","facade"
"404","ismdvb","facade"
"405","miqgga","facade"
"406","ulfdpv","facade"
"407","ulfdpv","facade"
"408","miqgga","facade"
"409","vgilwn","facade"
"410","vgilwn","facade"
"411","zmcnan","facade"
"412","jrllns","parking_meter"
"413","rghhse","parking_meter"
"414","awvfhi","facade"
"415","wygstq","facade"
"416","ccrblh","facade"
"417","reozin","facade"
"418","qzzbwy","facade"
"419","ffdtqo","facade"
"420","nvheqm","transformers"
"421","hrqggr","transformers"
"422","bypokv","facade"
"423","deqocp","facade"
"424","nkiova","facade"
"425","nyddph","facade"
"426","ulfdpv","transformers"
"427","ulfdpv","transformers"
"428","gkpyxa","transformers"
"429","cmgzqd","shutter"
"430","mmtbha","door"
"431","kwohyq","transformers"
"432","vskscx","transformers"
"433","rtjnyq","transformers"
"434","jlhxnu","transformers"
"435","ccrblh","transformers"
"436","tldrjx","transformers"
"437","zzfaez","transformers"
"438","zzfaez","transformers"
"439","deqocp","transformers"
"440","rtjnyq","transformers"
"441","nyddph","transformers"
"442","rhjiys","transformers"
"443","cpdvhx","transformers"
"444","wtinbv","transformers"
"445","rtjnyq","transformers"
"446","zzfaez","transformers"
"447","nyddph","transformers"
"448","deqocp","transformers"
"449","wubmek","facade"
"450","zzfaez","facade"
"451","gbsuvd","parking_meter"
"452","ueijbd","transformers"
"453","onzppx","facade"
"454","rghhse","facade"
"455","lauhis","facade"
"456","aoxfzs","facade"
"457","ylavbr","facade"
"458","vwhpch","door"
"459","kapwmi","transformers"
"460","kyvurj","transformers"
"461","xhrjzj","transformers"
"462","ukhovp","facade"
"463","koyijn","facade"
"464","wdjbms","transformers"
"465","ulfdpv","bridge"
"466","miqgga","bridge"
"467","ulfdpv","bridge"
"468","vgilwn","bridge"
"469","wdjbms","transformers"
"470","wdjbms","transformers"
"471","ulfdpv","transformers"
"472","wdjbms","transformers"
"473","wdjbms","transformers"
"474","vskscx","transformers"
"475","ulfdpv","transformers"
"476","ismdvb","transformers"
"477","wdjbms","transformers"
"478","wdjbms","transformers"
"479","gbnsmv","transformers"
"480","wdjbms","transformers"
"481","ulfdpv","transformers"
"482","yjaqby","facade"
"483","vrhlhf","facade"
"484","oxymqp","facade"
"485","zzfaez","transformers"
"486","zvhzab","transformers"
"487","fhetog","transformers"
"488","yjyutc","door"
"489","ulfdpv","door"
"490","miqgga","facade"
"491","vgilwn","facade"
"492","ulfdpv","facade"
"493","zzcclz","facade"
"494","miqgga","transformers"
"495","rghhse","transformers"
"496","ijubac","transformers"
"497","rghhse","facade"
"498","ccrblh","facade"
"499","wdbxzc","facade"
"500","rghhse","facade"
"501","zqbyel","transformers"
"502","nrebtj","transformers"
"503","lcefch","transformers"
"504","vunnqq","door"
"505","razkvx","door"
"506","razkvx","door"
"507","rnvxxz","facade"
"508","rukjuy","facade"
"509","rtjnyq","facade"
"510","gbnsmv","transformers"
"511","cmgzqd","transformers"
"512","fhetog","transformers"
"513","rnvxxz","facade"
"514","rukjuy","facade"
"515","onzppx","transformers"
"516","zzfaez","facade"
"517","adpsxi","facade"
"518","ccrblh","transformers"
"519","wblguv","facade"
"520","zqbyel","facade"
"521","zqbyel","facade"
"522","rtjnyq","shutter"
"523","miqgga","facade"
"524","ulfdpv","facade"
"525","rtjnyq","facade"
"526","jokxwv","facade"
"527","jrxpzr","facade"
"528","jdyxal","facade"
"529","uwvrfv","facade"
"530","escufo","window"
"531","nyddph","window"
"532","jllptl","window"
"533","nkiova","window"
"534","deqocp","window"
"535","mdvpve","window"
"536","sixhte","window"
"537","dwvbzl","door"
"538","vunnqq","door"
"539","emxykh","door"
"540","dwvbzl","door"
"541","kfzzws","window"
"542","kwohyq","transformers"
"543","jbllxg","facade"
"544","yjyutc","transformers"
"545","fhetog","transformers"
"546","ccrblh","transformers"
"547","zqbyel","transformers"
"548","ejvddi","transformers"
"549","bapijd","transformers"
"550","vhbtlb","facade"
"551","kaguxu","facade"
"552","ulfdpv","transformers"
"553","wthkgv","transformers"
"554","nppxch","transformers"
"555","gbujim","transformers"
"556","thdqjp","transformers"
"557","xygyyh","transformers"
